id,resource_id,ts,pp1,pp2,pp3,,already_know,articulationRate,boring,clear,complicated,discovery,engagement,exciting,f0Range,fast,interactive,long,mood,pause,time-stamp,time_stamp,too_fast,too_long,too_much,unclear,valuable
692,-163,2021-12-14T09:17:11,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
695,-161,2021-12-14T09:19:47,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
696,-160,2021-12-14T09:20:20,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
698,-159,2021-12-14T09:21:39,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
701,-158,2021-12-14T09:22:39,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
709,-157,2021-12-14T09:23:41,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
713,-142,2021-12-14T09:38:39,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
716,-141,2021-12-14T09:39:38,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
719,-140,2021-12-14T09:40:15,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
721,-139,2021-12-14T09:41:02,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
723,-138,2021-12-14T09:42:20,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
727,-137,2021-12-14T09:43:52,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
729,-136,2021-12-14T09:44:15,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
736,-135,2021-12-14T09:45:58,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
749,-134,2021-12-14T09:46:40,,,,,,,,false,,,4,false,,true,,false,,,,,,,,false,false
754,-133,2021-12-14T09:47:43,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
757,-132,2021-12-14T09:48:27,,,,,,,,false,,,3,false,,false,,false,,,,,,,,true,false
774,-131,2021-12-14T09:49:41,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
775,-130,2021-12-14T09:50:47,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
778,-129,2021-12-14T09:51:17,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
788,-123,2021-12-14T09:57:57,,,,,false,,,false,,false,3,false,,false,false,false,,,,,true,false,false,false,false
794,-122,2021-12-14T09:58:22,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
800,-118,2021-12-14T10:02:56,,,,,true,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
804,-117,2021-12-14T10:03:24,,,,,false,,,false,,false,5,false,,false,false,false,,,,,false,true,false,false,false
812,-111,2021-12-14T10:10:00,,,,,false,,,false,,false,1,false,,false,false,true,,,,,false,true,false,false,false
814,-110,2021-12-14T10:10:53,,,,,false,,,false,,false,3,false,,false,false,false,,,,,true,false,false,false,false
820,-94,2021-12-14T10:27:00,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,true
822,-80,2021-12-14T10:40:40,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
834,-75,2021-12-14T10:45:52,,,,,,,,true,,,1,false,,false,,false,,,,,,,,false,false
839,-60,2021-12-14T11:00:34,,,,,,,,false,,,5,false,,false,,false,,,,,,,,false,false
